Tahun;Bulan;Negara_Asal;Supplier;Jumlah_Ton;Hari_Keterlambatan;Tahap_Keterlambatan;Kelengkapan_Dokumen_Lengkap/Tidak_Lengkap;Durasi_Klarifikasi_Dokumen_Hari;Durasi_Bea_Cukai_Hari;Status_Monitoring_Terdeteksi/Tidak_Terdeteksi;Estimasi_Keterlambatan_Awal_Hari;Deviasi_Estimasi_Hari;Dampak_Produksi_Ringan/Sedang/Berat;Alasan_Keterlambatan;Skor_Keterlambatan;Skor_Bea_Cukai;Skor_Dokumen;Skor_Monitoring;Skor_Deviasi;Skor_Klarifikasi;Risk_Score_Mentah;Risk_Score_100;Kategori_Risiko
2020;12;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2809;86;Shipping;Lengkap;3;5;Tidak Terdeteksi;12;74;Berat;Kepadatan jalur pelayaran internasional;3;2;0;2;3;1;1.65;63.46;Medium
2020;12;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;7157;5;Port;Lengkap;12;12;Terdeteksi;13;-8;Ringan;Kepadatan kontainer di terminal;1;3;0;0;1;3;1.10;42.31;Low
2020;12;China;TENDENCY INTERNATIONAL CO., LIMITED;6767;32;Shipping;Lengkap;8;15;Terdeteksi;11;21;Sedang;Kemacetan distribusi ke pabrik;3;3;0;0;3;3;1.80;69.23;Medium
2021;1;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4587;94;Inland;Tidak Lengkap;1;4;Tidak Terdeteksi;45;49;Berat;Kemacetan distribusi ke pabrik;3;1;2;2;3;1;2.10;80.77;High
2021;1;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;3523;11;Shipping;Lengkap;18;18;Terdeteksi;9;2;Sedang;Gangguan sistem pelabuhan;1;3;0;0;1;3;1.10;42.31;Low
2021;1;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;7458;18;Port;Lengkap;16;8;Terdeteksi;11;7;Ringan;Kapal mengalami perubahan jadwal keberangkatan;2;2;0;0;2;3;1.30;50.00;Medium
2021;2;China;TENDENCY INTERNATIONAL CO., LIMITED;4609;19;Port;Lengkap;1;4;Terdeteksi;0;19;Sedang;Antrian bongkar muat tinggi di pelabuhan;2;1;0;0;3;1;1.10;42.31;Low
2021;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8953;65;Customs;Tidak Lengkap;15;16;Tidak Terdeteksi;37;28;Berat;Pemeriksaan bea cukai lebih ketat;3;3;2;2;3;3;2.60;100.00;High
2021;2;China;Shandong Lantian New Material Technology Co.,Ltd.;7619;49;Shipping;Tidak Lengkap;15;16;Tidak Terdeteksi;30;19;Sedang;Dokumen impor perlu klarifikasi tambahan;3;3;2;2;3;3;2.60;100.00;High
2021;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4417;86;Customs;Lengkap;8;15;Tidak Terdeteksi;39;47;Berat;Pemeriksaan fisik barang oleh bea cukai;3;3;0;2;3;3;2.00;76.92;High
2021;3;China;TENDENCY INTERNATIONAL CO., LIMITED;3759;64;Customs;Tidak Lengkap;16;7;Tidak Terdeteksi;30;34;Berat;Penahanan barang untuk inspeksi tambahan;3;2;2;2;3;3;2.45;94.23;High
2021;5;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;8823;20;Customs;Lengkap;15;20;Terdeteksi;2;18;Ringan;Kemacetan distribusi ke pabrik;2;3;0;0;3;3;1.60;61.54;Medium
2021;5;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;5451;8;Port;Lengkap;8;16;Terdeteksi;12;-4;Sedang;Penahanan barang untuk inspeksi tambahan;1;3;0;0;1;3;1.10;42.31;Low
2021;5;China;TENDENCY INTERNATIONAL CO., LIMITED;3999;7;Shipping;Lengkap;8;18;Terdeteksi;13;-6;Ringan;Pemeriksaan bea cukai lebih ketat;1;3;0;0;1;3;1.10;42.31;Low
2021;6;China;TENDENCY INTERNATIONAL CO., LIMITED;6304;8;Customs;Lengkap;18;17;Terdeteksi;5;3;Ringan;Lonjakan volume impor musiman;1;3;0;0;1;3;1.10;42.31;Low
2021;8;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5359;26;Shipping;Lengkap;0;3;Tidak Terdeteksi;11;15;Berat;Kapal mengalami perubahan jadwal keberangkatan;2;1;0;2;3;1;1.30;50.00;Medium
2021;8;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2091;4;Port;Lengkap;1;3;Terdeteksi;9;-5;Ringan;Kepadatan kontainer di terminal;1;1;0;0;1;1;0.60;23.08;Low
2021;8;China;TENDENCY INTERNATIONAL CO., LIMITED;5969;9;Shipping;Lengkap;0;3;Terdeteksi;2;7;Sedang;Kepadatan jalur pelayaran internasional;1;1;0;0;2;1;0.75;28.85;Low
2021;8;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2998;90;Kuota Impor;Lengkap;2;4;Tidak Terdeteksi;17;73;Berat;Menunggu persetujuan tambahan kuota;3;1;0;2;3;1;1.50;57.69;Medium
2021;9;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5484;69;Port;Lengkap;0;5;Tidak Terdeteksi;31;38;Berat;Kepadatan kontainer di terminal;3;2;0;2;3;1;1.65;63.46;Medium
2021;10;China;TENDENCY INTERNATIONAL CO., LIMITED;3117;11;Inland;Lengkap;1;3;Terdeteksi;6;5;Ringan;Keterbatasan kendaraan pengangkut;1;1;0;0;1;1;0.60;23.08;Low
2021;10;China;Shandong Lantian New Material Technology Co.,Ltd.;5438;5;Shipping;Lengkap;9;21;Terdeteksi;9;-4;Sedang;Cuaca buruk menghambat pengiriman;1;3;0;0;1;3;1.10;42.31;Low
2021;11;China;TENDENCY INTERNATIONAL CO., LIMITED;3063;1;Shipping;Lengkap;2;2;Terdeteksi;10;-9;Sedang;Kapal mengalami perubahan jadwal keberangkatan;1;1;0;0;1;1;0.60;23.08;Low
2021;11;China;TENDENCY INTERNATIONAL CO., LIMITED;6312;30;Inland;Lengkap;10;9;Terdeteksi;29;1;Sedang;Pemeriksaan bea cukai lebih ketat;2;2;0;0;1;3;1.15;44.23;Low
2021;12;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5759;96;Customs;Tidak Lengkap;9;7;Tidak Terdeteksi;41;55;Berat;Dokumen impor perlu klarifikasi tambahan;3;2;2;2;3;3;2.45;94.23;High
2021;12;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3657;91;Inland;Lengkap;2;4;Tidak Terdeteksi;31;60;Berat;Keterbatasan kendaraan pengangkut;3;1;0;2;3;1;1.50;57.69;Medium
2021;12;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3488;10;Shipping;Lengkap;3;4;Terdeteksi;12;-2;Sedang;Kapal mengalami perubahan jadwal keberangkatan;1;1;0;0;1;1;0.60;23.08;Low
2021;12;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;6962;85;Customs;Tidak Lengkap;18;19;Tidak Terdeteksi;21;64;Berat;Cuaca buruk menghambat pengiriman;3;3;2;2;3;3;2.60;100.00;High
2021;12;China;Shandong Lantian New Material Technology Co.,Ltd.;6369;21;Shipping;Tidak Lengkap;15;18;Terdeteksi;28;-7;Sedang;Lonjakan volume impor musiman;2;3;2;0;1;3;1.90;73.08;High
2022;1;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3075;106;Inland;Tidak Lengkap;0;4;Tidak Terdeteksi;34;72;Berat;Keterlambatan armada trucking;3;1;2;2;3;1;2.10;80.77;High
2022;1;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;3085;33;Inland;Lengkap;11;10;Terdeteksi;28;5;Sedang;Kapal mengalami perubahan jadwal keberangkatan;3;2;0;0;1;3;1.35;51.92;Medium
2022;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4796;4;Kuota Impor;Lengkap;3;1;Terdeteksi;10;-6;Ringan;Perubahan regulasi kuota baja;1;1;0;0;1;1;0.60;23.08;Low
2022;2;China;TENDENCY INTERNATIONAL CO., LIMITED;2070;54;Port;Lengkap;0;2;Tidak Terdeteksi;16;38;Berat;Keterbatasan alat bongkar pelabuhan;3;1;0;2;3;1;1.50;57.69;Medium
2022;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4642;17;Customs;Lengkap;5;5;Terdeteksi;1;16;Ringan;Penyesuaian HS Code oleh otoritas;2;2;0;0;3;2;1.35;51.92;Medium
2022;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4742;58;Customs;Tidak Lengkap;6;8;Tidak Terdeteksi;38;20;Berat;Dokumen impor perlu klarifikasi tambahan;3;2;2;2;3;2;2.35;90.38;High
2022;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4149;39;Customs;Lengkap;11;6;Terdeteksi;12;27;Sedang;Keterbatasan kendaraan pengangkut;3;2;0;0;3;3;1.65;63.46;Medium
2022;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8904;105;Shipping;Tidak Lengkap;7;9;Tidak Terdeteksi;20;85;Berat;Kapal mengalami perubahan jadwal keberangkatan;3;2;2;2;3;3;2.45;94.23;High
2022;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4953;11;Kuota Impor;Lengkap;1;5;Terdeteksi;0;11;Ringan;Menunggu persetujuan tambahan kuota;1;2;0;0;3;1;1.05;40.38;Low
2022;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2249;25;Port;Lengkap;2;5;Tidak Terdeteksi;29;-4;Sedang;Keterbatasan alat bongkar pelabuhan;2;2;0;2;1;1;1.15;44.23;Low
2022;3;China;TENDENCY INTERNATIONAL CO., LIMITED;3654;33;Port;Tidak Lengkap;3;3;Tidak Terdeteksi;20;13;Berat;Antrian bongkar muat tinggi di pelabuhan;3;1;2;2;3;1;2.10;80.77;High
2022;3;China;Shandong Lantian New Material Technology Co.,Ltd.;7338;2;Shipping;Lengkap;6;6;Terdeteksi;5;-3;Ringan;Kapal mengalami perubahan jadwal keberangkatan;1;2;0;0;1;2;0.85;32.69;Low
2022;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;6792;49;Customs;Tidak Lengkap;11;7;Terdeteksi;21;28;Sedang;Kepadatan kontainer di terminal;3;2;2;0;3;3;2.25;86.54;High
2022;3;China;TENDENCY INTERNATIONAL CO., LIMITED;3154;36;Customs;Tidak Lengkap;11;11;Tidak Terdeteksi;30;6;Sedang;Penahanan barang untuk inspeksi tambahan;3;3;2;2;2;3;2.45;94.23;High
2022;3;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;7884;11;Customs;Lengkap;16;19;Terdeteksi;0;11;Ringan;Gangguan sistem pelabuhan;1;3;0;0;3;3;1.40;53.85;Medium
2022;3;China;TENDENCY INTERNATIONAL CO., LIMITED;6487;10;Inland;Lengkap;15;15;Terdeteksi;4;6;Ringan;Lonjakan volume impor musiman;1;3;0;0;2;3;1.25;48.08;Medium
2022;3;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;4274;87;Customs;Tidak Lengkap;16;8;Tidak Terdeteksi;15;72;Berat;Lonjakan volume impor musiman;3;2;2;2;3;3;2.45;94.23;High
2022;4;China;TENDENCY INTERNATIONAL CO., LIMITED;5272;10;Kuota Impor;Lengkap;1;4;Terdeteksi;6;4;Sedang;Perubahan regulasi kuota baja;1;1;0;0;1;1;0.60;23.08;Low
2022;4;China;Shandong Lantian New Material Technology Co.,Ltd.;6419;34;Inland;Lengkap;6;14;Tidak Terdeteksi;28;6;Sedang;Kepadatan kontainer di terminal;3;3;0;2;2;2;1.75;67.31;Medium
2022;4;China;Shandong Lantian New Material Technology Co.,Ltd.;7853;18;Inland;Lengkap;14;10;Terdeteksi;12;6;Ringan;Pemeriksaan bea cukai lebih ketat;2;2;0;0;2;3;1.30;50.00;Medium
2022;4;China;TENDENCY INTERNATIONAL CO., LIMITED;4140;101;Inland;Lengkap;11;22;Tidak Terdeteksi;43;58;Berat;Cuaca buruk menghambat pengiriman;3;3;0;2;3;3;2.00;76.92;High
2022;5;China;TENDENCY INTERNATIONAL CO., LIMITED;3512;55;Shipping;Tidak Lengkap;6;16;Tidak Terdeteksi;29;26;Berat;Kesalahan administrasi dokumen impor;3;3;2;2;3;2;2.50;96.15;High
2022;6;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8283;53;Inland;Lengkap;9;15;Tidak Terdeteksi;32;21;Berat;Pemeriksaan bea cukai lebih ketat;3;3;0;2;3;3;2.00;76.92;High
2022;7;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;6185;86;Customs;Tidak Lengkap;15;11;Tidak Terdeteksi;38;48;Berat;Penahanan barang untuk inspeksi tambahan;3;3;2;2;3;3;2.60;100.00;High
2022;7;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;5857;30;Customs;Lengkap;14;21;Terdeteksi;23;7;Berat;Keterbatasan kendaraan pengangkut;2;3;0;0;2;3;1.45;55.77;Medium
2022;7;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;3725;116;Shipping;Tidak Lengkap;9;16;Tidak Terdeteksi;25;91;Berat;Lonjakan volume impor musiman;3;3;2;2;3;3;2.60;100.00;High
2022;8;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;3406;44;Inland;Tidak Lengkap;9;11;Tidak Terdeteksi;20;24;Sedang;Keterbatasan kendaraan pengangkut;3;3;2;2;3;3;2.60;100.00;High
2022;9;China;TENDENCY INTERNATIONAL CO., LIMITED;4388;26;Customs;Tidak Lengkap;9;7;Tidak Terdeteksi;30;-4;Berat;Pemeriksaan fisik barang oleh bea cukai;2;2;2;2;1;3;1.95;75.00;High
2022;9;China;TENDENCY INTERNATIONAL CO., LIMITED;7687;46;Customs;Lengkap;12;16;Terdeteksi;17;29;Sedang;Kesalahan administrasi dokumen impor;3;3;0;0;3;3;1.80;69.23;Medium
2022;9;China;Shandong Lantian New Material Technology Co.,Ltd.;7497;21;Customs;Tidak Lengkap;15;17;Tidak Terdeteksi;15;6;Berat;Kepadatan kontainer di terminal;2;3;2;2;2;3;2.25;86.54;High
2022;9;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;7052;49;Customs;Lengkap;11;21;Terdeteksi;18;31;Sedang;Kesalahan administrasi dokumen impor;3;3;0;0;3;3;1.80;69.23;Medium
2022;9;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;5555;49;Customs;Tidak Lengkap;14;21;Tidak Terdeteksi;21;28;Sedang;Penahanan barang untuk inspeksi tambahan;3;3;2;2;3;3;2.60;100.00;High
2022;10;China;Shandong Lantian New Material Technology Co.,Ltd.;5125;10;Shipping;Lengkap;13;16;Terdeteksi;11;-1;Ringan;Cuaca buruk menghambat pengiriman;1;3;0;0;1;3;1.10;42.31;Low
2022;10;China;TENDENCY INTERNATIONAL CO., LIMITED;5338;64;Customs;Tidak Lengkap;9;10;Tidak Terdeteksi;44;20;Berat;Kemacetan distribusi ke pabrik;3;2;2;2;3;3;2.45;94.23;High
2022;11;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;4206;26;Port;Lengkap;7;20;Tidak Terdeteksi;21;5;Berat;Kapal mengalami perubahan jadwal keberangkatan;2;3;0;2;1;3;1.50;57.69;Medium
2022;12;China;Shandong Lantian New Material Technology Co.,Ltd.;7614;114;Inland;Lengkap;8;18;Tidak Terdeteksi;28;86;Berat;Dokumen impor perlu klarifikasi tambahan;3;3;0;2;3;3;2.00;76.92;High
2022;12;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3987;40;Customs;Lengkap;10;14;Tidak Terdeteksi;12;28;Berat;Dokumen impor perlu klarifikasi tambahan;3;3;0;2;3;3;2.00;76.92;High
2023;1;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5172;104;Port;Tidak Lengkap;9;19;Tidak Terdeteksi;22;82;Berat;Kemacetan distribusi ke pabrik;3;3;2;2;3;3;2.60;100.00;High
2023;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8048;103;Inland;Tidak Lengkap;14;9;Tidak Terdeteksi;21;82;Berat;Kepadatan kontainer di terminal;3;2;2;2;3;3;2.45;94.23;High
2023;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4791;108;Customs;Tidak Lengkap;5;9;Tidak Terdeteksi;32;76;Berat;Dokumen impor perlu klarifikasi tambahan;3;2;2;2;3;2;2.35;90.38;High
2023;3;China;Shandong Lantian New Material Technology Co.,Ltd.;6188;38;Shipping;Tidak Lengkap;14;6;Terdeteksi;30;8;Berat;Cuaca buruk menghambat pengiriman;3;2;2;0;2;3;2.10;80.77;High
2023;3;China;Shandong Lantian New Material Technology Co.,Ltd.;3505;0;Port;Lengkap;8;11;Terdeteksi;15;-15;Sedang;Kemacetan distribusi ke pabrik;1;3;0;0;1;3;1.10;42.31;Low
2023;3;China;Shandong Lantian New Material Technology Co.,Ltd.;5030;108;Inland;Tidak Lengkap;12;17;Tidak Terdeteksi;37;71;Berat;Gangguan sistem pelabuhan;3;3;2;2;3;3;2.60;100.00;High
2023;4;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3538;108;Inland;Lengkap;2;1;Tidak Terdeteksi;26;82;Berat;Keterlambatan armada trucking;3;1;0;2;3;1;1.50;57.69;Medium
2023;4;China;TENDENCY INTERNATIONAL CO., LIMITED;3703;6;Shipping;Lengkap;17;18;Terdeteksi;0;6;Ringan;Keterbatasan kendaraan pengangkut;1;3;0;0;2;3;1.25;48.08;Medium
2023;4;China;TENDENCY INTERNATIONAL CO., LIMITED;8883;44;Port;Lengkap;6;17;Terdeteksi;20;24;Berat;Gangguan sistem pelabuhan;3;3;0;0;3;2;1.70;65.38;Medium
2023;4;China;TENDENCY INTERNATIONAL CO., LIMITED;6144;96;Shipping;Tidak Lengkap;16;11;Tidak Terdeteksi;15;81;Berat;Gangguan sistem pelabuhan;3;3;2;2;3;3;2.60;100.00;High
2023;5;China;TENDENCY INTERNATIONAL CO., LIMITED;4687;13;Customs;Lengkap;10;6;Terdeteksi;7;6;Ringan;Penyesuaian HS Code oleh otoritas;1;2;0;0;2;3;1.10;42.31;Low
2023;5;China;Shandong Lantian New Material Technology Co.,Ltd.;8642;91;Inland;Tidak Lengkap;7;17;Tidak Terdeteksi;38;53;Berat;Cuaca buruk menghambat pengiriman;3;3;2;2;3;3;2.60;100.00;High
2023;5;China;Shandong Lantian New Material Technology Co.,Ltd.;6508;51;Customs;Tidak Lengkap;8;16;Tidak Terdeteksi;32;19;Berat;Dokumen impor perlu klarifikasi tambahan;3;3;2;2;3;3;2.60;100.00;High
2023;5;China;Shandong Lantian New Material Technology Co.,Ltd.;5394;114;Inland;Lengkap;13;11;Tidak Terdeteksi;22;92;Berat;Dokumen impor perlu klarifikasi tambahan;3;3;0;2;3;3;2.00;76.92;High
